grade,semester,category,version,executor,needUncompress,name,content
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《总复习（一）》flash课件 ,http://www.goodkejian.com/down.asp?id=50044&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《总复习（二）》flash课件 ,http://www.goodkejian.com/down.asp?id=50043&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《周长的认识 2》PPT课件 ,http://www.goodkejian.com/down.asp?id=50042&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《周长的认识 1》flash课件 ,http://www.goodkejian.com/down.asp?id=50041&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《周长》PPT课件 ,http://www.goodkejian.com/down.asp?id=50040&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《周长 1》PPT课件 ,http://www.goodkejian.com/down.asp?id=50039&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《中间有0的连续退位减法》PPT课件 ,http://www.goodkejian.com/down.asp?id=50038&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《正方形的周长》flash课件 ,http://www.goodkejian.com/down.asp?id=50037&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《余数和除数的关系》PPT课件 ,http://www.goodkejian.com/down.asp?id=50036&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法在生活中的应用》flash课件 ,http://www.goodkejian.com/down.asp?id=50035&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 10》PPT课件 ,http://www.goodkejian.com/down.asp?id=50034&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 9》flash课件 ,http://www.goodkejian.com/down.asp?id=50033&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 8》flash课件 ,http://www.goodkejian.com/down.asp?id=50032&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 7》flash课件 ,http://www.goodkejian.com/down.asp?id=50031&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 6》PPT课件 ,http://www.goodkejian.com/down.asp?id=50030&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 5》PPT课件 ,http://www.goodkejian.com/down.asp?id=50029&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数的除法 4》PPT课件 ,http://www.goodkejian.com/down.asp?id=50028&sid=1
3,0,0,人教版,段斌,1,人教新课标数学三年级上册《有余数除法解决问题练习课》PPT课件 ,http://www.goodkejian.com/down.asp?id=50027&sid=1
