grade,semester,category,version,executor,chapter,section,name,content
三年级,上册,5,北京版,段斌,0,0,整十、整百数乘一位数的口算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/545602ec59b24cb9ab26f2266921e53d/ce0386e11f65e5eed429a8167255f835.852.480.false/ce0386e11f65e5eed429a8167255f835.852.480.m3u8
三年级,上册,5,北京版,段斌,0,0,两位数乘一位数的口算（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/535d6e1087cf420cb08b389e54997954/65070c3ab7404daf5462af33d604e39b.852.480.false/65070c3ab7404daf5462af33d604e39b.852.480.m3u8
三年级,上册,5,北京版,段斌,0,0,两位数乘一位数的口算（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/b0fd8992ca47442d8f3f1f49a82d01eb/a680916f2709831f8888b70859a1b988.852.480.false/a680916f2709831f8888b70859a1b988.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,两位数乘一位数的笔算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/189f924f74564ddeb33481900c8f8517/ec49beea0d4714eeaaabd7dacf978f9c.852.480.false/ec49beea0d4714eeaaabd7dacf978f9c.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,三位数乘一位数的笔算（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/be0a9fb7327746fbad285247735bb91d/4b30fc5c084e3131cf5817de2c003a6c.852.480.false/4b30fc5c084e3131cf5817de2c003a6c.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,三位数乘一位数的笔算（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/e3b4cd7d209544e28c71b4308d68b666/372f686b2f6ff0c6ea8242de1d85625e.852.480.false/372f686b2f6ff0c6ea8242de1d85625e.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,多位数乘一位数估算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/7fe101fd5cec4d2088985ddbc65a7193/fcb531f584534ba0908be29ad145b7ed.852.480.false/fcb531f584534ba0908be29ad145b7ed.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,关于0的乘法（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/52d861d47cfb451f90728b9343cb4b04/f15627d673e225274e5c08d28b668479.852.480.false/f15627d673e225274e5c08d28b668479.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,关于0的乘法（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/99cc113beef74e12baedc74b188ae902/ed8380e40715561c3cd9f850cb9434a9.852.480.false/ed8380e40715561c3cd9f850cb9434a9.852.480.m3u8
三年级,上册,5,北京版,段斌,0,1,乘法的整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/a62dfb92ecac46bf8239eab3fdc9c1b4/946b8935369d30d8954f0e8e235640b6.852.480.false/946b8935369d30d8954f0e8e235640b6.852.480.m3u8
